from,to,unit,layer,count
.,l,punctuation,git,8
{,/,punctuation,git,8
B,C,consonant,git,8
8, ,digit,git,8
e,>,vowel,git,8
2,<,digit,git,8
t,m,consonant,git,8
>,E,punctuation,git,8
l,A,consonant,git,8
a,g,vowel,git,8
w,b,consonant,git,8
s,/,consonant,git,8
<,{,punctuation,git,8
g,A,consonant,git,8
>,δ,punctuation,git,8
f,a,consonant,git,8
p,y,consonant,git,8
>,I,punctuation,git,8
),>,punctuation,git,8
/,y,punctuation,git,8
4,7,digit,git,8
8,7,digit,git,8
0,3,digit,git,8
6,2,digit,git,8
I,E,vowel,git,8
I,M,vowel,git,8
e,1,vowel,git,8
r, ,consonant,git,8
n,A,consonant,git,8
/,w,punctuation,git,8
m,y,consonant,git,8
"""",1,punctuation,git,8
),8,punctuation,git,8
p,þ,consonant,git,8
I,1,vowel,git,8
k,ि,consonant,git,8
n,्,diacritic,git,8
a,द,vowel,git,8
d,ा,consonant,git,8
̣,ण,diacritic,git,8
р,p,latin,git,8
̇,N,diacritic,git,8
v,h,consonant,form,7
̄,t,diacritic,form,7
9,r,digit,form,7
d,g,consonant,form,7
̄,.,diacritic,form,7
n,.,consonant,form,7
 ,u,whitespace,form,7
l,e,consonant,form,7
e, ,vowel,form,7
e,c,vowel,form,7
Y,j,consonant,form,7
f,i,consonant,form,7
h,t,consonant,form,7
s,c,consonant,form,7
c,t,consonant,form,7
h,́,diacritic,form,7
Y,̣,diacritic,form,7
d,e,consonant,form,7
n,v,consonant,form,7
́,p,diacritic,form,7
x,f,consonant,form,7
b,n,consonant,form,7
g,e,consonant,form,7
h,p,consonant,form,7
e,d,vowel,form,7
d,Q,consonant,form,7
p,r,consonant,form,7
s,̣,diacritic,form,7
a,m,vowel,form,7
l,o,consonant,form,7
d,.,consonant,form,7
g,h,consonant,form,7
4,e,digit,form,7
2,e,digit,form,7
),g,punctuation,form,7
B,e,consonant,form,7
4,c,digit,form,7
6,e,digit,form,7
4,a,digit,form,7
2,n,digit,form,7
4,2,digit,form,7
̣,R,diacritic,form,7
̣,4,diacritic,form,7
›,.,punctuation,form,7
›,r,punctuation,form,7
2,4,digit,form,7
›,t,punctuation,form,7
¯,•,punctuation,form,7
f,R,consonant,git,7
/,e,punctuation,git,7
k,p,consonant,git,7
/,2,punctuation,git,7
n,c,consonant,git,7
y,e,consonant,git,7
c,k,consonant,git,7
s,},consonant,git,7
%, ,punctuation,git,7
n,b,consonant,git,7
y,v,consonant,git,7
p,s,consonant,git,7
h,e,consonant,git,7
 ,n,whitespace,git,7
a,S,vowel,git,7
g,h,consonant,git,7
c,l,consonant,git,7
{,a,punctuation,git,7
},A,punctuation,git,7
n,d,consonant,git,7
r,w,consonant,git,7
p,n,consonant,git,7
}, ,punctuation,git,7
a,"""",vowel,git,7
L,m,consonant,git,7
N,x,consonant,git,7
D,i,consonant,git,7
r,k,consonant,git,7
2,s,digit,git,7
{,>,punctuation,git,7
2,^,digit,git,7
A,>,vowel,git,7
v,n,consonant,git,7
0, ,digit,git,7
h,k,consonant,git,7
>,e,punctuation,git,7
ø,̈,diacritic,git,7
0,7,digit,git,7
 ,m,whitespace,git,7
h,r,consonant,git,7
7,3,digit,git,7
8,",",digit,git,7
v,D,consonant,git,7
1,>,digit,git,7
<,l,punctuation,git,7
h,{,consonant,git,7
w,#,consonant,git,7
/,3,punctuation,git,7
/,L,punctuation,git,7
],>,punctuation,git,7
>,β,punctuation,git,7
>,ζ,punctuation,git,7
>,s,punctuation,git,7
́,a,diacritic,git,7
f,s,consonant,git,7
λ,γ,latin,git,7
π,τ,latin,git,7
а,Ⲁ,latin,git,7
t,g,consonant,git,7
